date,temp_max,temp_min
2022-01-01,65.3,53.0
2022-01-02,69.9,56.3
2022-01-03,58.7,27.9
2022-01-04,35.6,5.0
2022-01-05,47.3,19.0
2022-01-06,45.5,32.1
2022-01-07,38.1,21.3
2022-01-08,31.7,5.4
2022-01-09,51.1,24.4
2022-01-10,47.6,29.4
2022-01-11,34.1,20.3
2022-01-12,50.3,23.6
2022-01-13,51.8,27.4
2022-01-14,49.3,29.1
2022-01-15,39.9,24.8
2022-01-16,27.1,18.2
2022-01-17,36.8,25.6
2022-01-18,37.2,24.2
2022-01-19,48.7,16.9
2022-01-20,42.7,32.4
2022-01-21,31.8,16.9
2022-01-22,34.8,13.8
2022-01-23,40.9,23.2
2022-01-24,44.1,25.7
2022-01-25,52.7,31.1
2022-01-26,36.5,21.8
2022-01-27,38.8,17.4
2022-01-28,40.9,28.4
2022-01-29,33.1,21.4
2022-01-30,35.8,15.8
2022-01-31,40.7,20.1
2022-02-01,43.6,22.8
2022-02-02,49.9,24.2
2022-02-03,52.1,38.2
2022-02-04,60.8,47.2
2022-02-05,44.7,29.2
2022-02-06,39.0,20.1
2022-02-07,37.1,21.8
2022-02-08,49.1,27.4
2022-02-09,55.8,25.3
2022-02-10,59.0,32.6
2022-02-11,64.3,29.3
2022-02-12,60.8,43.5
2022-02-13,53.6,34.2
2022-02-14,36.2,23.0
2022-02-15,43.9,19.4
2022-02-16,55.4,26.1
2022-02-17,66.9,43.8
2022-02-18,66.6,39.5
2022-02-19,47.3,24.2
2022-02-20,46.4,20.7
2022-02-21,62.5,27.2
2022-02-22,64.0,46.1
2022-02-23,71.2,54.4
2022-02-24,57.9,36.9
2022-02-25,59.7,32.1
2022-02-26,47.2,33.4
2022-02-27,56.4,35.0
2022-02-28,54.6,32.5
2022-03-01,60.8,30.3
2022-03-02,66.2,36.9
2022-03-03,63.5,42.1
2022-03-04,52.9,25.5
2022-03-05,66.2,34.7
2022-03-06,75.3,56.9
2022-03-07,77.1,58.2
2022-03-08,63.9,41.2
2022-03-09,51.0,41.2
2022-03-10,52.3,33.9
2022-03-11,63.0,33.9
2022-03-12,52.7,28.0
2022-03-13,45.1,18.5
2022-03-14,62.6,26.6
2022-03-15,69.2,36.7
2022-03-16,70.2,40.3
2022-03-17,63.4,50.5
2022-03-18,74.0,44.5
2022-03-19,75.6,54.2
2022-03-20,69.5,44.9
2022-03-21,69.8,37.0
2022-03-22,72.3,41.2
2022-03-23,59.4,45.1
2022-03-24,70.4,53.9
2022-03-25,62.8,43.9
2022-03-26,51.8,40.6
2022-03-27,47.3,31.8
2022-03-28,44.5,25.1
2022-03-29,51.3,23.3
2022-03-30,59.4,36.4
2022-03-31,71.2,53.0
2022-04-01,69.1,44.4
2022-04-02,58.6,31.0
2022-04-03,58.7,43.7
2022-04-04,60.1,32.0
2022-04-05,61.4,43.1
2022-04-06,69.8,52.0
2022-04-07,61.4,50.5
2022-04-08,60.4,37.8
2022-04-09,54.2,38.3
2022-04-10,59.0,35.3
2022-04-11,73.6,32.9
2022-04-12,77.5,49.7
2022-04-13,82.0,58.1
2022-04-14,79.7,64.2
2022-04-15,71.9,43.4
2022-04-16,78.5,55.0
2022-04-17,68.0,47.8
2022-04-18,52.3,37.4
2022-04-19,55.0,34.9
2022-04-20,61.8,31.4
2022-04-21,66.7,44.5
2022-04-22,76.2,50.4
2022-04-23,82.1,48.6
2022-04-24,89.4,56.4
2022-04-25,87.0,56.2
2022-04-26,79.2,56.0
2022-04-27,63.6,41.9
2022-04-28,63.7,37.8
2022-04-29,68.8,35.8
2022-04-30,62.3,45.8
2022-05-01,75.2,47.8
2022-05-02,82.2,55.0
2022-05-03,86.8,53.3
2022-05-04,82.4,61.2
2022-05-05,76.0,54.7
2022-05-06,68.2,58.0
2022-05-07,64.3,49.5
2022-05-08,56.1,45.2
2022-05-09,67.6,40.7
2022-05-10,72.3,46.3
2022-05-11,75.5,49.6
2022-05-12,71.1,56.9
2022-05-13,74.3,62.0
2022-05-14,74.6,60.8
2022-05-15,84.7,57.2
2022-05-16,82.0,61.0
2022-05-17,82.9,55.7
2022-05-18,81.7,52.5
2022-05-19,88.7,62.0
2022-05-20,93.8,60.9
2022-05-21,92.4,69.8
2022-05-22,92.2,66.5
2022-05-23,78.8,62.2
2022-05-24,63.4,56.4
2022-05-25,71.5,55.4
2022-05-26,75.3,59.2
2022-05-27,76.7,63.9
2022-05-28,77.8,57.7
2022-05-29,82.0,56.2
2022-05-30,90.1,60.0
2022-05-31,94.7,62.4
2022-06-01,93.2,68.0
2022-06-02,94.2,68.1
2022-06-03,81.8,67.7
2022-06-04,85.1,57.2
2022-06-05,85.9,58.0
2022-06-06,84.5,55.7
2022-06-07,79.7,60.6
2022-06-08,89.4,62.9
2022-06-09,85.6,68.9
2022-06-10,81.5,57.6
2022-06-11,82.4,61.1
2022-06-12,83.3,63.2
2022-06-13,92.3,66.9
2022-06-14,91.4,71.3
2022-06-15,91.7,68.4
2022-06-16,89.3,71.0
2022-06-17,96.2,73.9
2022-06-18,81.1,67.1
2022-06-19,80.6,55.3
2022-06-20,78.8,57.2
2022-06-21,90.0,60.8
2022-06-22,95.0,64.7
2022-06-23,82.1,68.1
2022-06-24,89.5,62.0
2022-06-25,90.3,64.3
2022-06-26,90.5,67.2
2022-06-27,82.0,68.7
2022-06-28,82.4,58.7
2022-06-29,86.9,61.0
2022-06-30,91.5,63.5
2022-07-01,93.7,69.4
2022-07-02,93.0,70.9
2022-07-03,87.6,70.7
2022-07-04,88.7,63.6
2022-07-05,90.6,66.6
